wellid,RELATEID,DEPTH_TOP,DEPTH_BOT,DRLLR_DESC,COLOR,HARDNESS,STRAT,LITH_PRIM,LITH_SEC,LITH_MINOR
337643,0000337643,0.0,133.0,OVERBURDEN,,,QUUU,DRFT,,
337643,0000337643,133.0,564.0,BASEMENT,,,PCUU,BDRK,,
413668,0000413668,0.0,27.0,FINE SAND,BROWN,SOFT,QFUB,SAND,,
413668,0000413668,27.0,40.0,CLAY,RED,SOFT,QCUR,CLAY,,
413668,0000413668,40.0,51.0,CLAY,BROWN,SOFT,QCUB,CLAY,,
413668,0000413668,51.0,60.0,FINE SAND,RED,SOFT,QFUR,SAND,,
413668,0000413668,60.0,120.0,MUDDY SAND,BROWN,SOFT,QNUB,SAND,MUDD,
413668,0000413668,120.0,190.0,SANDROCK,WHITE,SOFT,CJDN,SNDS,,
413668,0000413668,190.0,215.0,SANDROCK,WHITE,HARD,CJSL,SNDS,,
461415,0000461415,0.0,1.0,ASPHALT,,,PVMT,PVMT,,
461415,0000461415,1.0,7.0,F-M SAND,BROWN,,QFUB,SAND,,
461415,0000461415,7.0,9.0,WEATHERED LIMESTONE,,,OPVL,LMSN,,
461415,0000461415,9.0,24.0,LIMESTONE BEDROCK,,,OPVL,LMSN,,
469382,0000469382,0.0,8.0,FILL & CLAY,,,,,,
469382,0000469382,8.0,25.0,LIMEROCK,,,,,,
509077,0000509077,0.0,5.0,BLACK DIRT,BLACK,,RUUK,SOIL,ORGD,
509077,0000509077,5.0,91.0,"SAND, GRAVEL & CLAY",BROWN,,QPUB,SAND,GRVL,CLAY
509077,0000509077,91.0,98.0,SHALE,BROWN,MEDIUM,QCUB,CLAY,SHLE,
509077,0000509077,98.0,120.0,ST. PETER,GRAY,MEDIUM,OPVL,LMSN,DLMT,
509077,0000509077,120.0,125.0,ST. PETER,GRAY,MEDIUM,OPGW,LMSN,SHLE,DLMT
509077,0000509077,125.0,282.0,ST. PETER,GRAY,MEDIUM,OSTP,SNDS,SLSN,
509077,0000509077,282.0,312.0,SHAKOPEE,GRAY,HARD,OPDC,DLMT,,
509077,0000509077,312.0,343.0,SHAKOPEE,TAN,HARD,OPDC,DLMT,,
509077,0000509077,343.0,432.0,SHAKOPEE,GRAY,HARD,OPDC,DLMT,,
509077,0000509077,432.0,436.0,JORDAN,GRAY,MEDIUM,CJDN,SNDS,,
623759,0000623759,0.0,20.0,SANDY CLAY,BROWN,SOFT,,,,
623759,0000623759,20.0,50.0,SAND,BROWN,MEDIUM,,,,
623759,0000623759,50.0,60.0,SANDY  CLAY,GRAY,MEDIUM,,,,
623759,0000623759,60.0,75.0,CLAY & GRAVEL,GRAY,MEDIUM,,,,
623759,0000623759,75.0,92.0,SAND,BROWN,SOFT,,,,
625657,0000625657,0.0,90.0,CLAY,BROWN,MEDIUM,QCUB,CLAY,,
625657,0000625657,90.0,98.0,SAND FINE,GRAY,SOFT,QFUG,SAND,,
625657,0000625657,98.0,130.0,CLAY,BROWN,MEDIUM,QCUB,CLAY,,
625657,0000625657,130.0,139.0,SAND FINE,BROWN,SOFT,QFUB,SAND,,
625657,0000625657,139.0,240.0,SLATE ROCK,DK. GRY,MEDIUM,PEVT,SLTE,,
632759,0000632759,0.0,20.0,SANDY CLAY,BROWN,SOFT,QLUB,CLAY,SAND,
632759,0000632759,20.0,50.0,SAND,BRN/GRY,MEDIUM,QFUU,SAND,,
632759,0000632759,50.0,60.0,SANDY CLAY,GRAY,MEDIUM,QLUG,CLAY,SAND,
632759,0000632759,60.0,75.0,"CLAY, GRAVEL",GRY/BLK,MEDIUM,QPUU,CLAY,GRVL,
632759,0000632759,75.0,92.0,SAND,BRN/RED,SOFT,QFUU,SAND,,
681508,0000681508,0.0,90.0,CLAY,RED/BRN,MEDIUM,QCUU,CLAY,,
681508,0000681508,90.0,94.0,SILTY SAND,BROWN,SOFT,QNUB,SAND,SILT,
681508,0000681508,94.0,119.0,CLAY,BROWN,MEDIUM,QCUB,CLAY,,
681508,0000681508,119.0,121.0,FINE SILTY,BROWN,SOFT,QIUB,SILT,,
681508,0000681508,121.0,200.0,SLATE ROCK,BLACK,MEDIUM,PEVT,SLTE,,
681508,0000681508,200.0,240.0,SLATE ROCK,,,PEVT,SLTE,,
